benchmark,repetition,days,master_index,strike,clean_call,unit_draw,error_half_width,added_error,observed_call
lognormal,0,30,0,4777.022555419574,1231.266314663707,-0.766177069657985,0.5,-0.3830885348289925,1230.8832261288778
lognormal,0,30,1,4798.64247812431,1209.718224576951,0.4272466151420147,0.5,0.21362330757100734,1209.9318478845219
lognormal,0,30,2,4820.262400829048,1188.170468219554,0.9217858642251524,0.5,0.4608929321125762,1188.6313611516666
lognormal,0,30,3,4841.882323533784,1166.6231615060397,-0.39024148636207423,0.5,-0.19512074318103712,1166.4280407628587
lognormal,0,30,4,4863.5022462385205,1145.0764561285896,-0.9083753727207529,0.5,-0.45418768636037643,1144.6222684422291
lognormal,0,30,5,4885.122168943257,1123.53054907758,-0.11479341286583722,0.5,-0.05739670643291861,1123.473152371147
lognormal,0,30,6,4906.742091647993,1101.9856942264187,0.4126236171166826,0.5,0.2063118085583413,1102.192006034977
lognormal,0,30,7,4928.3620143527305,1080.442216297948,0.8262330074177409,0.5,0.41311650370887043,1080.855332801657
lognormal,0,30,8,4949.981937057467,1058.9005275452291,0.21812336080160555,0.5,0.10906168040080277,1059.00958922563
lognormal,0,30,9,4971.601859762203,1037.3611474871677,0.1886962642497545,0.5,0.09434813212487725,1037.4554956192926
lognormal,0,30,10,4993.22178246694,1015.8247260367352,-0.1355542917285133,0.5,-0.06777714586425665,1015.756948890871
lognormal,0,30,11,5014.841705171676,994.2920703440732,-0.9678469051950627,0.5,-0.48392345259753133,993.8081468914756
lognormal,0,30,12,5036.461627876413,972.7641756462326,-0.35904469168870357,0.5,-0.17952234584435178,972.5846533003883
lognormal,0,30,13,5058.08155058115,951.2422603673831,-0.27447351694112143,0.5,-0.13723675847056072,951.1050236089126
lognormal,0,30,14,5079.701473285886,929.7278056462646,-0.7884485691545304,0.5,-0.3942242845772652,929.3335813616874
lognormal,0,30,15,5101.3213959906225,908.2225993800685,-0.34200245704435406,0.5,-0.17100122852217703,908.0515981515463
lognormal,0,30,16,5122.941318695359,886.728784764945,0.30253988323201364,0.5,0.15126994161600682,886.8800547065609
lognormal,0,30,17,5144.561241400095,865.248913183339,-0.30667344745818426,0.5,-0.15333672372909213,865.0955764596099
lognormal,0,30,18,5166.1811641048325,843.7860011381363,-0.21272561107547006,0.5,-0.10636280553773503,843.6796383325985
lognormal,0,30,19,5187.801086809569,822.3435907655148,-0.3309670003671423,0.5,-0.16548350018357116,822.1781072653313
lognormal,0,30,20,5209.421009514305,800.9258132755986,0.9828857630507468,0.5,0.4914428815253734,801.4172561571239
lognormal,0,30,21,5231.040932219042,779.5374544771594,-0.6228132507870157,0.5,-0.31140662539350783,779.2260478517659
lognormal,0,30,22,5252.660854923778,758.1840213451287,-0.6170638493763234,0.5,-0.3085319246881617,757.8754894204405
lognormal,0,30,23,5274.280777628514,736.8718083943795,0.7436084874332465,0.5,0.37180424371662324,737.2436126380961
lognormal,0,30,24,5295.900700333252,715.6079624375834,-0.36456520008933757,0.5,-0.18228260004466879,715.4256798375387
lognormal,0,30,25,5317.520623037987,694.4005441370364,0.2782899498850546,0.5,0.1391449749425273,694.5396891119789
lognormal,0,30,26,5339.1405457427245,673.2585846187367,0.6214072351780027,0.5,0.31070361758900134,673.5692882363256
lognormal,0,30,27,5360.760468447461,652.1921353100097,0.8193577565535137,0.5,0.40967887827675686,652.6018141882864
lognormal,0,30,28,5382.380391152197,631.2123090976584,0.6056912070170739,0.5,0.30284560350853695,631.5151547011669
lognormal,0,30,29,5404.000313856934,610.331310889208,-0.08905600602211328,0.5,-0.04452800301105664,610.286782886197
lognormal,0,30,30,5425.62023656167,589.5624557009833,-0.23570778709230256,0.5,-0.11785389354615128,589.4446018074372
lognormal,0,30,31,5447.240159266407,568.9201724981813,0.14169620086297519,0.5,0.07084810043148759,568.9910205986127
lognormal,0,30,32,5468.860081971144,548.4199921757336,0.6761991895111961,0.5,0.33809959475559803,548.7580917704892
lognormal,0,30,33,5490.48000467588,528.0785182948675,0.47851377304593035,0.5,0.23925688652296517,528.3177751813905
lognormal,0,30,34,5512.0999273806165,507.9133794766949,-0.5980116386898433,0.5,-0.29900581934492165,507.61437365735
lognormal,0,30,35,5533.719850085354,487.9431626957021,-0.2672485525208832,0.5,-0.1336242762604416,487.80953841944165
lognormal,0,30,36,5555.339772790089,468.187327105903,-0.020231184527051083,0.5,-0.010115592263525541,468.1772115136395
lognormal,0,30,37,5576.9596954948265,448.6660984607797,0.26511438478336147,0.5,0.13255719239168073,448.7986556531714
lognormal,0,30,38,5598.579618199563,429.4003446436145,-0.08234740450277611,0.5,-0.041173702251388056,429.3591709413631
lognormal,0,30,39,5620.199540904299,410.4114332941508,-0.7833349096048052,0.5,-0.3916674548024026,410.0197658393484
lognormal,0,30,40,5641.819463609037,391.7210729864282,0.13840903198479793,0.5,0.06920451599239896,391.7902775024206
lognormal,0,30,41,5663.439386313773,373.35113986612396,0.014380960300598211,0.5,0.007190480150299106,373.3583303462743
lognormal,0,30,42,5685.059309018509,355.3234920787645,0.8618608187399963,0.5,0.43093040936999816,355.7544224881345
lognormal,0,30,43,5706.679231723246,337.6597746984189,0.3962554065539168,0.5,0.1981277032769584,337.85790240169587
lognormal,0,30,44,5728.299154427983,320.381218186576,-0.5744385550785469,0.5,-0.28721927753927345,320.0939989090367
lognormal,0,30,45,5749.9190771327185,303.50843366134995,0.6108923828644779,0.5,0.30544619143223894,303.8138798527822
lognormal,0,30,46,5771.538999837456,287.06120842860855,0.7407588179687288,0.5,0.3703794089843644,287.43158783759293
lognormal,0,30,47,5793.158922542192,271.0583053123555,0.875606142229592,0.5,0.437803071114796,271.4961083834703
lognormal,0,30,48,5814.7788452469285,255.51726931769736,0.5410672944051724,0.5,0.2705336472025862,255.78780296489995
